INFO 2024-04-28 22:56:20,824 autoreload Watching for file changes with StatReloader
DEBUG 2024-04-28 22:56:20,959 autoreload File /usr/local/lib/python3.8/concurrent/futures/_base.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,959 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/fields/related_descriptors.py first seen with mtime 1714344749.4759529
DEBUG 2024-04-28 22:56:20,960 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/admin/exceptions.py first seen with mtime 1714344748.825953
DEBUG 2024-04-28 22:56:20,960 autoreload File /usr/local/lib/python3.8/site-packages/django/conf/global_settings.py first seen with mtime 1714344748.745953
DEBUG 2024-04-28 22:56:20,960 autoreload File /usr/local/lib/python3.8/asyncio/events.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,961 autoreload File /usr/local/lib/python3.8/site-packages/django/core/files/storage/base.py first seen with mtime 1714344749.445953
DEBUG 2024-04-28 22:56:20,961 autoreload File /usr/local/lib/python3.8/site-packages/django/db/backends/postgresql/base.py first seen with mtime 1714344749.4659529
DEBUG 2024-04-28 22:56:20,961 autoreload File /usr/local/lib/python3.8/email/_policybase.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,961 autoreload File /usr/local/lib/python3.8/reprlib.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,962 autoreload File /usr/local/lib/python3.8/logging/config.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,962 autoreload File /usr/local/lib/python3.8/_weakrefset.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,962 autoreload File /usr/local/lib/python3.8/site-packages/sqlparse/utils.py first seen with mtime 1714344748.565953
DEBUG 2024-04-28 22:56:20,963 autoreload File /usr/local/lib/python3.8/site-packages/django/views/__init__.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,963 autoreload File /usr/local/lib/python3.8/urllib/error.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,963 autoreload File /usr/local/lib/python3.8/site-packages/django/utils/inspect.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,964 autoreload File /usr/local/lib/python3.8/lzma.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,964 autoreload File /usr/local/lib/python3.8/socket.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,964 autoreload File /usr/local/lib/python3.8/site-packages/django/core/cache/__init__.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,964 autoreload File /usr/local/lib/python3.8/email/parser.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,965 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/messages/__init__.py first seen with mtime 1714344749.2559528
DEBUG 2024-04-28 22:56:20,965 autoreload File /usr/local/lib/python3.8/http/server.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,965 autoreload File /usr/local/lib/python3.8/site-packages/django/core/checks/model_checks.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,966 autoreload File /usr/local/lib/python3.8/site-packages/django/utils/translation/trans_real.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,966 autoreload File /usr/local/lib/python3.8/site-packages/django/utils/itercompat.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,966 autoreload File /usr/local/lib/python3.8/json/scanner.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,966 autoreload File /usr/local/lib/python3.8/_sitebuiltins.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,967 autoreload File /usr/local/lib/python3.8/site-packages/django/http/cookie.py first seen with mtime 1714344749.4959528
DEBUG 2024-04-28 22:56:20,967 autoreload File /usr/local/lib/python3.8/lib-dynload/unicodedata.cpython-38-x86_64-linux-gnu.so first seen with mtime 1713964013.0
DEBUG 2024-04-28 22:56:20,967 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/messages/storage/base.py first seen with mtime 1714344749.2559528
DEBUG 2024-04-28 22:56:20,968 autoreload File /usr/local/lib/python3.8/site-packages/django/core/cache/backends/__init__.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,968 autoreload File /usr/local/lib/python3.8/lib-dynload/_datetime.cpython-38-x86_64-linux-gnu.so first seen with mtime 1713964013.0
DEBUG 2024-04-28 22:56:20,968 autoreload File /usr/local/lib/python3.8/site-packages/django/template/backends/base.py first seen with mtime 1714344749.5059528
DEBUG 2024-04-28 22:56:20,968 autoreload File /usr/local/lib/python3.8/site-packages/django/views/debug.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,969 autoreload File /usr/local/lib/python3.8/asyncio/base_subprocess.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,969 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/auth/validators.py first seen with mtime 1714344749.005953
DEBUG 2024-04-28 22:56:20,969 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/staticfiles/handlers.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,970 autoreload File /usr/local/lib/python3.8/site-packages/django/core/files/locks.py first seen with mtime 1714344749.445953
DEBUG 2024-04-28 22:56:20,970 autoreload File /usr/local/lib/python3.8/pickle.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,970 autoreload File /usr/local/lib/python3.8/site-packages/corsheaders/signals.py first seen with mtime 1714344750.4459524
DEBUG 2024-04-28 22:56:20,970 autoreload File /usr/local/lib/python3.8/io.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,971 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/sql/subqueries.py first seen with mtime 1714344749.4759529
DEBUG 2024-04-28 22:56:20,971 autoreload File /usr/local/lib/python3.8/locale.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,971 autoreload File /usr/local/lib/python3.8/site-packages/django/views/static.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,971 autoreload File /usr/local/lib/python3.8/asyncio/trsock.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,972 autoreload File /usr/local/lib/python3.8/typing.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,972 autoreload File /usr/local/lib/python3.8/email/mime/base.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,972 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/contenttypes/admin.py first seen with mtime 1714344749.055953
DEBUG 2024-04-28 22:56:20,972 autoreload File /usr/local/lib/python3.8/site-packages/django/core/management/color.py first seen with mtime 1714344749.445953
DEBUG 2024-04-28 22:56:20,973 autoreload File /usr/local/lib/python3.8/quopri.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,973 autoreload File /usr/local/lib/python3.8/site-packages/django/core/handlers/exception.py first seen with mtime 1714344749.445953
DEBUG 2024-04-28 22:56:20,973 autoreload File /usr/local/lib/python3.8/site-packages/django/utils/safestring.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,973 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/__init__.py first seen with mtime 1714344749.4659529
DEBUG 2024-04-28 22:56:20,974 autoreload File /usr/local/lib/python3.8/site-packages/corsheaders/middleware.py first seen with mtime 1714344750.4459524
DEBUG 2024-04-28 22:56:20,974 autoreload File /usr/local/lib/python3.8/lib-dynload/_sha512.cpython-38-x86_64-linux-gnu.so first seen with mtime 1713964015.0
DEBUG 2024-04-28 22:56:20,974 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/auth/middleware.py first seen with mtime 1714344749.005953
DEBUG 2024-04-28 22:56:20,975 autoreload File /usr/local/lib/python3.8/site-packages/django/template/library.py first seen with mtime 1714344749.5059528
DEBUG 2024-04-28 22:56:20,975 autoreload File /usr/local/lib/python3.8/site-packages/django/views/generic/list.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,975 autoreload File /usr/local/lib/python3.8/copyreg.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,976 autoreload File /usr/local/lib/python3.8/string.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,976 autoreload File /usr/local/lib/python3.8/site-packages/django/utils/datastructures.py first seen with mtime 1714344749.5059528
DEBUG 2024-04-28 22:56:20,976 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/sessions/middleware.py first seen with mtime 1714344749.3459527
DEBUG 2024-04-28 22:56:20,976 autoreload File /usr/local/lib/python3.8/site-packages/django/urls/resolvers.py first seen with mtime 1714344749.5059528
DEBUG 2024-04-28 22:56:20,977 autoreload File /usr/local/lib/python3.8/email/mime/message.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,977 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/admin/filters.py first seen with mtime 1714344748.825953
DEBUG 2024-04-28 22:56:20,977 autoreload File /usr/local/lib/python3.8/site-packages/sqlparse/exceptions.py first seen with mtime 1714344748.565953
DEBUG 2024-04-28 22:56:20,977 autoreload File /usr/local/lib/python3.8/site-packages/backports/zoneinfo/__init__.py first seen with mtime 1714344748.6559532
DEBUG 2024-04-28 22:56:20,978 autoreload File /usr/local/lib/python3.8/site-packages/django/middleware/cache.py first seen with mtime 1714344749.4959528
DEBUG 2024-04-28 22:56:20,978 autoreload File /usr/local/lib/python3.8/site-packages/backports/zoneinfo/_tzpath.py first seen with mtime 1714344748.6559532
DEBUG 2024-04-28 22:56:20,978 autoreload File /usr/local/lib/python3.8/site-packages/django/core/serializers/base.py first seen with mtime 1714344749.455953
DEBUG 2024-04-28 22:56:20,978 autoreload File /usr/local/lib/python3.8/socketserver.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,979 autoreload File /usr/local/lib/python3.8/site-packages/django/core/exceptions.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,979 autoreload File /usr/local/lib/python3.8/encodings/aliases.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,979 autoreload File /usr/local/lib/python3.8/site-packages/asgiref/local.py first seen with mtime 1714344748.6759531
DEBUG 2024-04-28 22:56:20,979 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/query.py first seen with mtime 1714344749.4759529
DEBUG 2024-04-28 22:56:20,980 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/aggregates.py first seen with mtime 1714344749.4659529
DEBUG 2024-04-28 22:56:20,980 autoreload File /usr/local/lib/python3.8/email/encoders.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,980 autoreload File /usr/local/lib/python3.8/lib-dynload/grp.cpython-38-x86_64-linux-gnu.so first seen with mtime 1713964012.0
DEBUG 2024-04-28 22:56:20,981 autoreload File /usr/local/lib/python3.8/site-packages/django/db/backends/base/introspection.py first seen with mtime 1714344749.455953
DEBUG 2024-04-28 22:56:20,981 autoreload File /usr/local/lib/python3.8/importlib/machinery.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,981 autoreload File /usr/local/lib/python3.8/ntpath.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,982 autoreload File /usr/local/lib/python3.8/lib-dynload/_pickle.cpython-38-x86_64-linux-gnu.so first seen with mtime 1713964013.0
DEBUG 2024-04-28 22:56:20,982 autoreload File /usr/local/lib/python3.8/warnings.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,982 autoreload File /usr/local/lib/python3.8/genericpath.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,982 autoreload File /usr/local/lib/python3.8/site-packages/django/template/response.py first seen with mtime 1714344749.5059528
DEBUG 2024-04-28 22:56:20,983 autoreload File /usr/local/lib/python3.8/asyncio/base_tasks.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,983 autoreload File /usr/local/lib/python3.8/site-packages/django/template/loaders/base.py first seen with mtime 1714344749.5059528
DEBUG 2024-04-28 22:56:20,983 autoreload File /usr/local/lib/python3.8/site-packages/django/core/files/storage/handler.py first seen with mtime 1714344749.445953
DEBUG 2024-04-28 22:56:20,983 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/admin/widgets.py first seen with mtime 1714344748.825953
DEBUG 2024-04-28 22:56:20,983 autoreload File /usr/local/lib/python3.8/site-packages/django/forms/utils.py first seen with mtime 1714344749.4859529
DEBUG 2024-04-28 22:56:20,984 autoreload File /usr/local/lib/python3.8/enum.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,984 autoreload File /usr/local/lib/python3.8/site-packages/corsheaders/defaults.py first seen with mtime 1714344750.4459524
DEBUG 2024-04-28 22:56:20,984 autoreload File /usr/local/lib/python3.8/site-packages/django/utils/duration.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,984 autoreload File /usr/local/lib/python3.8/asyncio/streams.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,985 autoreload File /usr/local/lib/python3.8/site-packages/django/middleware/csrf.py first seen with mtime 1714344749.4959528
DEBUG 2024-04-28 22:56:20,985 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/admin/helpers.py first seen with mtime 1714344748.825953
DEBUG 2024-04-28 22:56:20,985 autoreload File /usr/local/lib/python3.8/asyncio/unix_events.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,985 autoreload File /usr/local/lib/python3.8/importlib/__init__.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,985 autoreload File /usr/local/lib/python3.8/site-packages/django/core/checks/async_checks.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,986 autoreload File /usr/local/lib/python3.8/json/decoder.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,986 autoreload File /usr/local/lib/python3.8/concurrent/__init__.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,986 autoreload File /usr/local/lib/python3.8/site-packages/django/db/migrations/graph.py first seen with mtime 1714344749.4659529
DEBUG 2024-04-28 22:56:20,986 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/staticfiles/management/commands/__init__.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,987 autoreload File /usr/local/lib/python3.8/site.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,987 autoreload File /usr/local/lib/python3.8/asyncio/base_events.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,987 autoreload File /usr/local/lib/python3.8/asyncio/transports.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,987 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/staticfiles/__init__.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,988 autoreload File /usr/local/lib/python3.8/site-packages/django/db/migrations/operations/fields.py first seen with mtime 1714344749.4659529
DEBUG 2024-04-28 22:56:20,988 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/constraints.py first seen with mtime 1714344749.4759529
DEBUG 2024-04-28 22:56:20,988 autoreload File /usr/local/lib/python3.8/site-packages/django/db/utils.py first seen with mtime 1714344749.455953
DEBUG 2024-04-28 22:56:20,988 autoreload File /usr/local/lib/python3.8/site-packages/django/utils/timezone.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,989 autoreload File /usr/local/lib/python3.8/site-packages/django/db/backends/postgresql/client.py first seen with mtime 1714344749.4659529
DEBUG 2024-04-28 22:56:20,989 autoreload File /usr/local/lib/python3.8/decimal.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,989 autoreload File /usr/local/lib/python3.8/site-packages/django/core/checks/caches.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,989 autoreload File /usr/local/lib/python3.8/site-packages/backports/zoneinfo/_czoneinfo.cpython-38-x86_64-linux-gnu.so first seen with mtime 1714344748.6559532
DEBUG 2024-04-28 22:56:20,990 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/contenttypes/fields.py first seen with mtime 1714344749.055953
DEBUG 2024-04-28 22:56:20,990 autoreload File /usr/local/lib/python3.8/json/encoder.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,990 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/sessions/apps.py first seen with mtime 1714344749.3359528
DEBUG 2024-04-28 22:56:20,990 autoreload File /usr/local/lib/python3.8/site-packages/corsheaders/__init__.py first seen with mtime 1714344750.4459524
DEBUG 2024-04-28 22:56:20,991 autoreload File /usr/local/lib/python3.8/site-packages/django/core/servers/basehttp.py first seen with mtime 1714344749.455953
DEBUG 2024-04-28 22:56:20,991 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/auth/__init__.py first seen with mtime 1714344749.005953
DEBUG 2024-04-28 22:56:20,991 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,991 autoreload File /usr/local/lib/python3.8/encodings/__init__.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,992 autoreload File /app/transcendence/urls.py first seen with mtime 1714291006.9235084
DEBUG 2024-04-28 22:56:20,993 autoreload File /usr/local/lib/python3.8/collections/__init__.py first seen with mtime 1713964026.0
DEBUG 2024-04-28 22:56:20,993 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/sessions/__init__.py first seen with mtime 1714344749.3359528
DEBUG 2024-04-28 22:56:20,993 autoreload File /usr/local/lib/python3.8/site-packages/django/template/autoreload.py first seen with mtime 1714344749.4959528
DEBUG 2024-04-28 22:56:20,993 autoreload File /usr/local/lib/python3.8/site-packages/django/contrib/auth/tokens.py first seen with mtime 1714344749.005953
DEBUG 2024-04-28 22:56:20,994 autoreload File /usr/local/lib/python3.8/bisect.py first seen with mtime 1713964025.0
DEBUG 2024-04-28 22:56:20,994 autoreload File /usr/local/lib/python3.8/http/cookies.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,994 autoreload File /usr/local/lib/python3.8/site-packages/django/core/checks/security/csrf.py first seen with mtime 1714344749.445953
DEBUG 2024-04-28 22:56:20,995 autoreload File /usr/local/lib/python3.8/urllib/request.py first seen with mtime 1713964027.0
DEBUG 2024-04-28 22:56:20,995 autoreload File /usr/local/lib/python3.8/site-packages/django/utils/functional.py first seen with mtime 1714344749.5159528
DEBUG 2024-04-28 22:56:20,995 autoreload File /usr/local/lib/python3.8/site-packages/django/db/models/enums.py first seen with mtime 1714344749.4759529
DEBUG 2024-04-28 22:56:20,995 autoreload File /usr/local/lib/python3.8/site-packages/django/templatetags/cache.py first seen with mtime 1714344749.5059528
DEBUG 2024-04-28 22:56:20,996 autoreload File /usr/local/lib/python3.8/site-packages/django/core/cache/backends/base.py first seen with mtime 1714344749.435953
DEBUG 2024-04-28 22:56:20,996 autoreload File /usr/local/lib/python3.8/site-packages/django/core/paginator.py first seen with mtime 1714344749.435953
